ensemblID	geneSymbol	geneLength	effLength	AT2_15934	AT2_16011	AT2_16392	AT2_16402
ENSG00000000003	TSPAN6	3441.91	3161.72	4122.00	3760.00	2907.00	3656.00
ENSG00000000005	TNMD	873.50	593.36	0.00	0.00	0.00	0.00
ENSG00000000419	DPM1	1078.38	798.20	2017.00	1546.00	1493.00	1365.00
ENSG00000000457	SCYL3	4558.20	4278.02	753.87	674.11	641.82	763.94
ENSG00000000460	C1orf112	2471.86	2191.68	397.13	319.89	412.18	401.06
ENSG00000000938	FGR	2350.00	2069.82	2.00	0.00	0.00	1.00
ENSG00000000971	CFH	2534.26	2254.08	872.92	1291.00	1941.00	2673.00
ENSG00000001036	FUCA2	2344.09	2063.91	3255.84	2064.94	2337.83	2897.61
ENSG00000001084	GCLC	3476.54	3196.35	888.00	1007.00	922.00	778.00
ENSG00000001167	NFYA	3244.81	2964.63	1934.00	1621.00	1756.00	2073.00
ENSG00000001460	STPG1	2298.66	2018.51	358.00	937.00	309.00	252.00
ENSG00000001461	NIPAL3	4553.74	4273.56	1197.00	1359.00	888.00	1291.00
ENSG00000001497	LAS1L	2313.91	2033.77	1363.00	1254.00	1435.00	1396.00
ENSG00000001561	ENPP4	4644.00	4363.82	1456.00	1054.00	1089.00	1721.00
ENSG00000001617	SEMA3F	2946.60	2666.42	2015.00	1389.00	2422.00	3240.00
ENSG00000001626	CFTR	4419.40	4139.22	831.00	431.00	483.00	591.00
ENSG00000001629	ANKIB1	5938.67	5658.49	2171.00	2015.00	1758.00	2415.00
ENSG00000001630	CYP51A1	3068.90	2788.72	10058.00	7009.00	12843.00	10471.00
ENSG00000001631	KRIT1	2252.41	1972.24	1258.54	1563.45	1173.49	1313.82
ENSG00000002016	RAD52	1342.93	1062.99	339.00	450.00	304.00	428.17
ENSG00000002079	MYH16	1984.60	1704.58	0.00	0.00	0.00	0.00
ENSG00000002330	BAD	922.47	642.30	2134.94	1917.70	2119.71	1496.57
ENSG00000002549	LAP3	1901.64	1621.46	1684.00	1330.00	1855.00	1938.00
ENSG00000002586	CD99	1127.89	847.71	2035.00	3995.00	5786.00	2888.00
ENSG00000002586.20_PAR_Y	CD99	814.53	534.39	0.00	0.00	0.00	0.00
ENSG00000002587	HS3ST1	7160.00	6879.82	319.00	31.00	369.00	584.00
ENSG00000002726	AOC1	2649.00	2368.82	19.00	0.00	20.00	162.00
ENSG00000002745	WNT16	3150.00	2869.82	5.00	25.00	9.00	17.00
ENSG00000002746	HECW1	2134.91	1854.87	0.00	1.00	0.00	0.00
ENSG00000002822	MAD1L1	1460.77	1180.65	826.70	700.79	1006.93	714.28
ENSG00000002834	LASP1	3894.92	3614.74	9047.00	8378.00	10644.00	7953.00
ENSG00000002919	SNX11	2261.25	1981.07	699.00	603.00	730.00	719.00
ENSG00000002933	TMEM176A	1044.79	764.61	144.00	1.00	129.00	351.00
ENSG00000003056	M6PR	2280.28	2000.11	5217.97	4107.58	5553.42	5752.85
ENSG00000003096	KLHL13	3319.56	3039.38	136.00	379.00	88.00	132.00
ENSG00000003137	CYP26B1	2803.71	2523.56	19.00	3.00	5.00	26.00
ENSG00000003147	ICA1	1940.61	1660.45	2158.00	1526.00	2034.00	2004.00
ENSG00000003249	DBNDD1	2100.53	1820.35	1801.00	1688.00	1703.00	2050.00
ENSG00000003393	ALS2	5551.02	5270.84	1241.00	1253.00	1289.00	1544.00
ENSG00000003400	CASP10	2425.16	2145.14	98.00	95.00	178.00	88.00
ENSG00000003402	CFLAR	4441.59	4161.42	3582.76	7269.32	4014.83	3736.17
ENSG00000003436	TFPI	1994.43	1714.25	1915.00	3443.00	2125.00	1222.00
ENSG00000003509	NDUFAF7	2069.75	1789.56	435.26	496.11	486.02	568.00
ENSG00000003756	RBM5	2319.94	2039.77	6539.77	8105.59	5912.38	8319.54
ENSG00000003987	MTMR7	4755.99	4475.81	934.19	119.28	956.21	883.64
ENSG00000003989	SLC7A2	7537.72	7257.54	1406.00	214.00	1901.00	1410.00
ENSG00000004059	ARF5	1052.61	772.43	6187.96	5228.00	5971.00	5422.96
ENSG00000004139	SARM1	4342.96	4062.79	1135.85	581.60	804.00	898.72
