ensemblID	geneSymbol	geneLength	effLength	AT2_15934	AT2_16011	AT2_16392	AT2_16402
ENSG00000000003	TSPAN6	3441.91	3161.72	33.7732	38.2396	24.0492	34.3694
ENSG00000000005	TNMD	873.50	593.36	0	0	0	0
ENSG00000000419	DPM1	1078.38	798.20	61.8152	53.3799	46.7836	44.6492
ENSG00000000457	SCYL3	4558.20	4278.02	5.35688	5.92685	4.61044	5.81359
ENSG00000000460	C1orf112	2471.86	2191.68	4.7918	4.22846	5.64006	4.23641
ENSG00000000938	FGR	2350.00	2069.82	0.021592	0	0	0.013909
ENSG00000000971	CFH	2534.26	2254.08	9.37663	11.3939	16.2008	26.2633
ENSG00000001036	FUCA2	2344.09	2063.91	37.806	26.9214	30.2917	39.7669
ENSG00000001084	GCLC	3476.54	3196.35	6.79166	9.03139	7.66565	7.59654
ENSG00000001167	NFYA	3244.81	2964.63	16.1259	15.6247	15.8641	20.1818
ENSG00000001460	STPG1	2298.66	2018.51	4.47109	12.193	4.13124	4.02544
ENSG00000001461	NIPAL3	4553.74	4273.56	7.33123	9.1094	5.71676	8.83971
ENSG00000001497	LAS1L	2313.91	2033.77	16.0738	16.4524	17.172	16.9134
ENSG00000001561	ENPP4	4644.00	4363.82	8.01289	6.78573	6.61761	10.3234
ENSG00000001617	SEMA3F	2946.60	2666.42	18.9409	15.6299	24.1475	34.1798
ENSG00000001626	CFTR	4419.40	4139.22	4.53758	2.71187	3.78979	3.78285
ENSG00000001629	ANKIB1	5938.67	5658.49	9.9638	11.1825	9.07101	12.8408
ENSG00000001630	CYP51A1	3068.90	2788.72	92.8954	74.1556	121.144	103.142
ENSG00000001631	KRIT1	2252.41	1972.24	16.7746	22.3644	13.8443	19.9675
ENSG00000002016	RAD52	1342.93	1062.99	9.3327	14.299	8.39765	11.3276
ENSG00000002079	MYH16	1984.60	1704.58	0.004021	0	0	0
ENSG00000002330	BAD	922.47	642.30	79.6364	79.5314	81.0592	58.8391
ENSG00000002549	LAP3	1901.64	1621.46	25.1205	22.3504	28.6813	31.1828
ENSG00000002586	CD99	1127.89	847.71	60.322	133.982	171.851	89.2689
ENSG00000002586.20_PAR_Y	CD99	814.53	534.39	0	0	0	0
ENSG00000002587	HS3ST1	7160.00	6879.82	1.80614	0.128493	3.77477	5.18333
ENSG00000002726	AOC1	2649.00	2368.82	0.179224	0	0.196273	1.75995
ENSG00000002745	WNT16	3150.00	2869.82	0.038928	0.253084	0.105402	0.220606
ENSG00000002746	HECW1	2134.91	1854.87	0	0.005315	0	0
ENSG00000002822	MAD1L1	1460.77	1180.65	12.2021	7.9879	17.1007	10.3277
ENSG00000002834	LASP1	3894.92	3614.74	63.7549	67.1253	75.2995	62.2768
ENSG00000002919	SNX11	2261.25	1981.07	8.83495	9.26597	9.26653	11.231
ENSG00000002933	TMEM176A	1044.79	764.61	4.46947	0.020647	4.23654	10.4917
