ensemblID	geneSymbol	geneLength	effLength	AT2_15934	AT2_16011	AT2_16392	AT2_16402
ENSG00000000003	TSPAN6	3441.91	3161.72	33.6944	38.7668	23.8218	33.2678
ENSG00000000005	TNMD	873.50	593.36	0	0	0	0
ENSG00000000419	DPM1	1078.38	798.20	62.0798	54.1937	47.1739	44.8811
ENSG00000000457	SCYL3	4558.20	4278.02	5.25479	6.02942	4.38741	5.88717
ENSG00000000460	C1orf112	2471.86	2191.68	4.81124	4.4073	5.67945	4.17959
ENSG00000000938	FGR	2350.00	2069.82	0.02373	0	0	0.015199
ENSG00000000971	CFH	2534.26	2254.08	9.68405	11.8203	17.0182	27.3275
ENSG00000001036	FUCA2	2344.09	2063.91	38.8298	28.0848	31.2776	41.4036
ENSG00000001084	GCLC	3476.54	3196.35	7.12602	9.34373	7.83586	7.13867
ENSG00000001167	NFYA	3244.81	2964.63	16.3579	15.8389	15.8832	20.2361
ENSG00000001460	STPG1	2298.66	2018.51	4.34752	12.2945	3.97402	3.84639
ENSG00000001461	NIPAL3	4553.74	4273.56	7.0778	8.91028	5.66687	8.80841
ENSG00000001497	LAS1L	2313.91	2033.77	16.3783	16.5423	17.3505	17.0298
ENSG00000001561	ENPP4	4644.00	4363.82	8.19297	6.84491	6.39904	10.4765
ENSG00000001617	SEMA3F	2946.60	2666.42	18.6628	15.3766	23.8441	33.0452
ENSG00000001626	CFTR	4419.40	4139.22	4.35949	2.51961	3.93481	3.73749
ENSG00000001629	ANKIB1	5938.67	5658.49	9.41804	10.8628	8.28548	12.6603
ENSG00000001630	CYP51A1	3068.90	2788.72	89.4822	72.4762	118.192	101.212
ENSG00000001631	KRIT1	2252.41	1972.24	15.8777	20.9914	13.3567	18.1071
ENSG00000002016	RAD52	1342.93	1062.99	8.08458	14.1358	6.93241	9.71988
ENSG00000002079	MYH16	1984.60	1704.58	0	0	0	0
ENSG00000002330	BAD	922.47	642.30	81.5551	82.0513	83.4813	60.8437
ENSG00000002549	LAP3	1901.64	1621.46	25.3447	22.6413	29.0969	31.469
ENSG00000002586	CD99	1127.89	847.71	58.9746	136.797	174.448	89.1294
ENSG00000002586.20_PAR_Y	CD99	814.53	534.39	0	0	0	0
ENSG00000002587	HS3ST1	7160.00	6879.82	1.7562	0.127855	3.12741	4.27322
ENSG00000002726	AOC1	2649.00	2368.82	0.196973	0	0.215824	1.81265
ENSG00000002745	WNT16	3150.00	2869.82	0.042784	0.246442	0.080261	0.220064
ENSG00000002746	HECW1	2134.91	1854.87	0	0.005799	0	0
ENSG00000002822	MAD1L1	1460.77	1180.65	11.3331	8.2926	15.4626	10.9916
ENSG00000002834	LASP1	3894.92	3614.74	61.4611	66.0918	75.9053	58.8726
ENSG00000002919	SNX11	2261.25	1981.07	8.74561	9.2243	9.56899	10.7643
ENSG00000002933	TMEM176A	1044.79	764.61	4.50715	0.022485	4.15568	10.4073
ENSG00000003056	M6PR	2280.28	2000.11	54.5768	49.8538	65.9731	69.2549
ENSG00000003096	KLHL13	3319.56	3039.38	1.07836	3.4603	0.807501	1.12912
ENSG00000003137	CYP26B1	2803.71	2523.56	0.184941	0.02269	0.031641	0.333629
ENSG00000003147	ICA1	1940.61	1660.45	34.8597	28.868	36.006	41.2346
ENSG00000003249	DBNDD1	2100.53	1820.35	24.2445	26.5405	23.8341	29.5876
ENSG00000003393	ALS2	5551.02	5270.84	5.82293	6.30447	6.2198	7.56052
ENSG00000003400	CASP10	2425.16	2145.14	1.13708	0.623915	1.24847	0.504809
ENSG00000003402	CFLAR	4441.59	4161.42	23.1516	65.1359	29.5512	26.5226
ENSG00000003436	TFPI	1994.43	1714.25	27.5525	48.9443	24.739	17.7405
ENSG00000003509	NDUFAF7	2069.75	1789.56	6.04269	8.17417	7.18306	8.37572
ENSG00000003756	RBM5	2319.94	2039.77	76.7051	107.522	73.2839	108.077
ENSG00000003987	MTMR7	4755.99	4475.81	5.23123	0.864086	5.7758	5.40772
ENSG00000003989	SLC7A2	7537.72	7257.54	4.76256	0.834211	6.8983	6.22675
ENSG00000004059	ARF5	1052.61	772.43	196.627	187.908	193.331	183.268
ENSG00000004139	SARM1	4342.96	4062.79	7.56041	3.32876	4.74472	5.98834
ENSG00000004142	POLDIP2	2670.00	2389.82	37.5696	39.1273	41.0366	42.0369
ENSG00000004399	PLXND1	2408.16	2127.99	75.3616	37.0227	80.7841	62.7966
ENSG00000004455	AK2	2077.13	1796.95	72.4705	85.7127	94.8123	84.966
ENSG00000004468	CD38	2424.33	2144.17	0.221868	4.92617	1.61975	1.70599
ENSG00000004478	FKBP4	3517.85	3237.66	19.2751	12.352	24.6495	20.5101
ENSG00000004487	KDM1A	2715.32	2435.13	44.1981	39.5181	39.0706	45.3994
ENSG00000004534	RBM6	2688.94	2408.76	66.4405	92.5767	65.773	127.379
ENSG00000004660	CAMKK1	3457.19	3177.01	2.65924	1.22442	2.5308	2.98528
ENSG00000004700	RECQL	2693.45	2413.27	8.29775	9.20777	8.1908	10.9044
ENSG00000004766	VPS50	4282.05	4001.87	8.81366	7.78231	8.68776	10.8258
ENSG00000004776	HSPB6	1460.00	1179.82	0.18737	0.023803	0.086075	0.022355
ENSG00000004777	ARHGAP33	2325.04	2044.93	15.7971	12.2362	22.7382	23.0351
ENSG00000004779	NDUFAB1	664.92	384.77	124.549	133.958	130.02	124.682
ENSG00000004799	PDK4	3601.00	3320.82	1.45674	5.26302	4.86304	1.7325
ENSG00000004809	SLC22A16	1388.25	1108.10	0	0	0	0
ENSG00000004838	ZMYND10	1382.13	1101.96	3.96265	179.636	3.33473	5.51236
ENSG00000004846	ABCB5	2554.00	2273.82	0	0.014668	0	0
ENSG00000004848	ARX	664.80	522.56	0	0.227259	0.068528	0.040596
ENSG00000004864	SLC25A13	2931.59	2651.41	11.0867	7.69547	12.5584	15.9862
ENSG00000004866	ST7	2186.11	1905.92	23.8084	42.131	24.7145	22.7352
ENSG00000004897	CDC27	3102.35	2822.19	16.4409	16.9036	14.6991	16.4326
ENSG00000004939	SLC4A1	2224.20	1944.17	0	0	0	0
ENSG00000004948	CALCR	3525.00	3244.82	0.022704	0	0.157848	0
ENSG00000004961	HCCS	2046.76	1766.58	10.7786	14.6075	10.2448	10.9589
ENSG00000004975	DVL2	2318.56	2038.38	33.958	32.0616	33.5181	33.4377
ENSG00000005001	PRSS22	1158.56	878.39	24.4485	18.8544	21.9626	26.2672
ENSG00000005007	UPF1	4513.48	4233.30	37.7338	42.5823	42.2255	55.1311
ENSG00000005020	SKAP2	3839.00	3558.82	3.11192	2.4854	3.58038	2.12609
ENSG00000005022	SLC25A5	1299.81	1019.62	305.392	217.181	302.068	273.659
ENSG00000005059	MCUB	1408.91	1128.83	12.407	29.5409	19.1667	14.7857
ENSG00000005073	HOXA11	2216.00	1935.82	0	0	0.329473	0
ENSG00000005075	POLR2J	928.54	648.36	61.1455	51.1432	53.0313	54.3608
ENSG00000005100	DHX33	5126.25	4846.07	5.00277	4.94595	5.328	9.36561
ENSG00000005102	MEOX1	2674.00	2393.82	0.010259	0	0	0.014317
ENSG00000005108	THSD7A	9982.52	9702.34	0.636636	0.689709	0.426024	0.533404
ENSG00000005156	LIG3	3898.45	3618.28	8.93964	8.61063	6.31785	16.7919
ENSG00000005175	RPAP3	2415.79	2135.72	12.4104	13.5993	10.3585	14.0366
ENSG00000005187	ACSM3	1336.88	1056.86	0.793207	1.93986	2.74561	1.05899
ENSG00000005189	REXO5	2218.52	1938.34	2.44176	3.6761	2.4334	2.22993
ENSG00000005194	CIAPIN1	1864.32	1584.14	32.8417	29.0597	26.8654	32.5514
ENSG00000005206	SPPL2B	2215.65	1935.48	90.8815	115.246	112.758	158.738
ENSG00000005238	FAM214B	2731.62	2451.44	6.45837	9.05418	8.29362	8.45458
ENSG00000005243	COPZ2	804.39	524.24	0.271338	1.37796	0.769779	0.806005
ENSG00000005249	PRKAR2B	3689.00	3408.82	3.35692	3.1811	1.96128	2.72549
ENSG00000005302	MSL3	2429.37	2149.20	8.15534	13.5287	6.73199	9.04293
ENSG00000005339	CREBBP	9909.10	9628.92	6.90357	9.27997	8.43327	8.14685
ENSG00000005379	TSPOAP1	2873.96	2593.91	4.61217	6.64527	3.03568	4.27263
ENSG00000005381	MPO	967.60	693.94	0	0.038549	0	0.018074
ENSG00000005421	PON1	2393.00	2112.82	0.011623	0.828389	0.253864	0.376126
ENSG00000005436	GCFC2	2045.44	1765.29	10.2919	8.6613	7.17382	12.339
ENSG00000005448	WDR54	1095.95	815.77	37.8601	92.257	38.2192	34.5179
ENSG00000005469	CROT	2606.36	2326.18	4.54475	5.76472	4.08189	9.99299
ENSG00000005471	ABCB4	4269.00	3988.82	0.110805	0.092333	0.169921	0.30194
ENSG00000005483	KMT2E	5198.90	4918.72	11.7954	15.4046	15.6987	17.2895
ENSG00000005486	RHBDD2	1682.33	1402.14	75.3213	74.1286	78.5623	91.6567
ENSG00000005513	SOX8	3087.00	2806.82	0.069992	0.06583	0.165764	0.222844
ENSG00000005700	IBTK	5152.13	4871.95	10.6611	14.2229	11.684	13.1702
ENSG00000005801	ZNF195	2524.90	2244.72	14.8818	11.2881	15.7706	17.9918
ENSG00000005810	MYCBP2	3884.04	3603.86	6.59481	5.15667	8.60034	6.31365
ENSG00000005812	FBXL3	3446.23	3166.04	17.4524	21.22	16.2306	21.1063
ENSG00000005844	ITGAL	1813.61	1533.42	0.137563	0.496794	0.159195	0.012095
ENSG00000005882	PDK2	2488.01	2207.83	15.8674	17.1086	15.1725	14.3334
ENSG00000005884	ITGA3	3972.84	3692.82	32.049	77.2938	49.7371	51.3349
ENSG00000005889	ZFX	4304.85	4027.23	6.53263	6.9198	2.97856	5.78452
ENSG00000005893	LAMP2	2672.94	2392.75	63.8638	49.9713	60.5483	77.4428
ENSG00000005961	ITGA2B	2042.74	1762.66	0.06909	0.249645	0.35068	0.285747
ENSG00000005981	ASB4	3784.00	3503.82	0.049059	0.462331	0.435688	0.444953
ENSG00000006007	GDE1	2538.90	2258.72	107.602	131.545	119.204	132.821
ENSG00000006015	REX1BD	918.87	638.71	40.2229	32.085	52.2327	55.471
ENSG00000006016	CRLF1	1071.06	791.14	209.053	17.1693	123.673	178.607
