ensemblID	geneSymbol	geneLength	effLength	AT2_15934	AT2_16011	AT2_16392	AT2_16402
ENSG00000000003	TSPAN6	3441.91	3161.72	4123	3760	2907	3656
ENSG00000000005	TNMD	873.50	593.36	0	0	0	0
ENSG00000000419	DPM1	1078.38	798.20	2017	1546	1493	1365
ENSG00000000457	SCYL3	4558.20	4278.02	764.38	674.101	641.525	741.285
ENSG00000000460	C1orf112	2471.86	2191.68	386.621	319.9	412.474	423.717
ENSG00000000938	FGR	2350.00	2069.82	2	0	0	1
ENSG00000000971	CFH	2534.26	2254.08	872.959	1291	1941	2673
ENSG00000001036	FUCA2	2344.09	2063.91	3255.02	2064.85	2336.04	2893.19
ENSG00000001084	GCLC	3476.54	3196.35	887.999	1007	922	778
ENSG00000001167	NFYA	3244.81	2964.63	1934	1621	1756	2073
ENSG00000001460	STPG1	2298.66	2018.51	358	937	309	252
ENSG00000001461	NIPAL3	4553.74	4273.56	1197	1359	888	1291
ENSG00000001497	LAS1L	2313.91	2033.77	1363	1254	1435	1396
ENSG00000001561	ENPP4	4644.00	4363.82	1456	1054	1089	1721
ENSG00000001617	SEMA3F	2946.60	2666.42	2015	1390	2422	3240
ENSG00000001626	CFTR	4419.40	4139.22	831	431	483	591
ENSG00000001629	ANKIB1	5938.67	5658.49	2171	2015	1758	2415
ENSG00000001630	CYP51A1	3068.90	2788.72	10058	7009	12844	10471
ENSG00000001631	KRIT1	2252.41	1972.24	1260.71	1558.88	1173.33	1307.28
ENSG00000002016	RAD52	1342.93	1062.99	339.001	449.999	304	428.145
ENSG00000002079	MYH16	1984.60	1704.58	0	0	0	0
ENSG00000002330	BAD	922.47	642.30	2135	1917.99	2119.99	1496.99
ENSG00000002549	LAP3	1901.64	1621.46	1684	1330	1855	1938
ENSG00000002586	CD99	1127.89	847.71	2035	3995	5786	2888
ENSG00000002586.20_PAR_Y	CD99	814.53	534.39	0	0	0	0
ENSG00000002587	HS3ST1	7160.00	6879.82	319	31	369	584
ENSG00000002726	AOC1	2649.00	2368.82	19	0	20	162
ENSG00000002745	WNT16	3150.00	2869.82	5	25	9	17
ENSG00000002746	HECW1	2134.91	1854.87	0	1	0	0
ENSG00000002822	MAD1L1	1460.77	1180.65	817.617	692.952	993.305	702.313
ENSG00000002834	LASP1	3894.92	3614.74	9048	8378	10644	7953
ENSG00000002919	SNX11	2261.25	1981.07	698.999	603	730	719
ENSG00000002933	TMEM176A	1044.79	764.61	144	1	129.001	350.999
ENSG00000003056	M6PR	2280.28	2000.11	4343.27	3440.67	4861.01	4971.3
ENSG00000003096	KLHL13	3319.56	3039.38	136	379	88	132
ENSG00000003137	CYP26B1	2803.71	2523.56	19	3	5	26
ENSG00000003147	ICA1	1940.61	1660.45	2158	1526	2034	2004
ENSG00000003249	DBNDD1	2100.53	1820.35	1801	1688	1703	2050
ENSG00000003393	ALS2	5551.02	5270.84	1241	1253	1289	1544
ENSG00000003400	CASP10	2425.16	2145.14	98.001	95	178	88
ENSG00000003402	CFLAR	4441.59	4161.42	3543.13	7169.44	3929.53	3699.21
ENSG00000003436	TFPI	1994.43	1714.25	1915	3443	2125	1222
ENSG00000003509	NDUFAF7	2069.75	1789.56	435.031	496.068	486.002	568
ENSG00000003756	RBM5	2319.94	2039.77	6480.66	8020.32	5879.72	8098.32
ENSG00000003987	MTMR7	4755.99	4475.81	951.738	129.39	958.415	890.044
ENSG00000003989	SLC7A2	7537.72	7257.54	1406	214	1901	1410
ENSG00000004059	ARF5	1052.61	772.43	6187.99	5228	5971	5422.99
ENSG00000004139	SARM1	4342.96	4062.79	1103.38	526.461	807.087	950.532
ENSG00000004142	POLDIP2	2670.00	2389.82	3656.09	3251.27	3836.27	3790.05
ENSG00000004399	PLXND1	2408.16	2127.99	7894	4147	9390	7844
ENSG00000004455	AK2	2077.13	1796.95	4275.8	4355.94	5173.61	4936.95
ENSG00000004468	CD38	2424.33	2144.17	28	672	217.001	229
ENSG00000004478	FKBP4	3517.85	3237.66	2511	1328	2965	2371
ENSG00000004487	KDM1A	2715.32	2435.13	4729	3780	4192	4551
ENSG00000004534	RBM6	2688.94	2408.76	6866.28	7741.12	6213.11	11785.4
ENSG00000004660	CAMKK1	3457.19	3177.01	344	142	318.001	366
ENSG00000004700	RECQL	2693.45	2413.27	924.587	838.689	867.525	1134.77
ENSG00000004766	VPS50	4282.05	4001.87	893	704	718.001	851.999
ENSG00000004776	HSPB6	1460.00	1179.82	9	1	4	1
ENSG00000004777	ARHGAP33	2325.04	2044.93	1241	964.697	1460.9	1501
ENSG00000004779	NDUFAB1	664.92	384.77	1950	1884	2031	1857
ENSG00000004799	PDK4	3601.00	3320.82	197	597	622	186
ENSG00000004809	SLC22A16	1388.25	1108.10	0	0	0	0
ENSG00000004838	ZMYND10	1382.13	1101.96	241	8046	137	218
ENSG00000004846	ABCB5	2554.00	2273.82	0	1	0	0
ENSG00000004848	ARX	664.80	522.56	0	21	7	4
ENSG00000004864	SLC25A13	2931.59	2651.41	1193	642	1245	1509
ENSG00000004866	ST7	2186.11	1905.92	1855.13	2729.62	1812.35	1614.6
ENSG00000004897	CDC27	3102.35	2822.19	1719	1855	1584	2083
ENSG00000004939	SLC4A1	2224.20	1944.17	0	0	0	0
ENSG00000004948	CALCR	3525.00	3244.82	3	0	20	0
ENSG00000004961	HCCS	2046.76	1766.58	715	732	636	700
ENSG00000004975	DVL2	2318.56	2038.38	2802	2324	2737	2406
ENSG00000005001	PRSS22	1158.56	878.39	871	601.001	783	918
ENSG00000005007	UPF1	4513.48	4233.30	7343	7214	7490	9551
ENSG00000005020	SKAP2	3839.00	3558.82	451	307	484	285
ENSG00000005022	SLC25A5	1299.81	1019.62	12675	7891.76	12201.9	10568.9
ENSG00000005059	MCUB	1408.91	1128.83	473	893.999	660	526
ENSG00000005073	HOXA11	2216.00	1935.82	0	0	26	0
ENSG00000005075	POLR2J	928.54	648.36	1613.93	1191.37	1366.74	1343.58
ENSG00000005100	DHX33	5126.25	4846.07	971.001	821	1004	1552
ENSG00000005102	MEOX1	2674.00	2393.82	1	0	0	1
ENSG00000005108	THSD7A	9982.52	9702.34	269	252	172	208
ENSG00000005156	LIG3	3898.45	3618.28	1268.2	1018.51	1065.4	1559.97
ENSG00000005175	RPAP3	2415.79	2135.72	998.999	1068	943	1082
ENSG00000005187	ACSM3	1336.88	1056.86	72.765	124.474	195.698	90.032
ENSG00000005189	REXO5	2218.52	1938.34	200.001	240.001	174	133
ENSG00000005194	CIAPIN1	1864.32	1584.14	2086	1562	1675	1923
ENSG00000005206	SPPL2B	2215.65	1935.48	6868	6148	7623	9746
ENSG00000005238	FAM214B	2731.62	2451.44	645.999	726.999	796.001	807
ENSG00000005243	COPZ2	804.39	524.24	7	17	17.001	12
ENSG00000005249	PRKAR2B	3689.00	3408.82	466	383	261	350
ENSG00000005302	MSL3	2429.37	2149.20	713	1203	719.001	933.001
ENSG00000005339	CREBBP	9909.10	9628.92	2484	2757	2773	2526
ENSG00000005379	TSPOAP1	2873.96	2593.91	524	532.001	363.001	327
ENSG00000005381	MPO	967.60	693.94	0	4	0	2
ENSG00000005421	PON1	2393.00	2112.82	1	49	21	30
ENSG00000005436	GCFC2	2045.44	1765.29	707	551	558.999	888
ENSG00000005448	WDR54	1095.95	815.77	1272	2709	1158	1038
ENSG00000005469	CROT	2606.36	2326.18	428	492	345	831
ENSG00000005471	ABCB4	4269.00	3988.82	16	12	23	42
ENSG00000005483	KMT2E	5198.90	4918.72	2166	2537	2464	2433
ENSG00000005486	RHBDD2	1682.33	1402.14	4475	3825	4479	5047
ENSG00000005513	SOX8	3087.00	2806.82	8	9	20	29
ENSG00000005700	IBTK	5152.13	4871.95	2296	2775	2404	2728
ENSG00000005801	ZNF195	2524.90	2244.72	1327	958.999	1277	1621
ENSG00000005810	MYCBP2	3884.04	3603.86	1288.42	976.001	1094.95	1232.94
ENSG00000005812	FBXL3	3446.23	3166.04	2217.3	2298.32	1963.15	2332.16
ENSG00000005844	ITGAL	1813.61	1533.42	11	82	6	2
ENSG00000005882	PDK2	2488.01	2207.83	1196.16	1177.49	1061.37	975.156
ENSG00000005884	ITGA3	3972.84	3692.82	4981	10599	7653	7492
ENSG00000005889	ZFX	4304.85	4027.23	1202	1411	702	1237
ENSG00000005893	LAMP2	2672.94	2392.75	6118	4200	5511	6906
ENSG00000005961	ITGA2B	2042.74	1762.66	9	18	27	19
ENSG00000005981	ASB4	3784.00	3503.82	7	41	13	25
ENSG00000006007	GDE1	2538.90	2258.72	8978	9868.81	9625.98	10100
ENSG00000006015	REX1BD	918.87	638.71	1053	767.999	1405	1536
ENSG00000006016	CRLF1	1071.06	791.14	7698.89	565.799	4666.25	6102.29
ENSG00000006025	OSBPL7	3093.48	2813.34	1174	855	909.999	992.999
ENSG00000006042	TMEM98	1484.79	1204.61	2863	1229	1728	2397
ENSG00000006047	YBX2	2170.81	1890.62	35	86	96	83
ENSG00000006059	KRT33A	1303.00	1022.82	0	0	0	0
ENSG00000006062	MAP3K14	3891.55	3611.37	186.982	148.955	244.958	242.197
ENSG00000006071	ABCC8	1872.45	1592.29	3200	6	2455	2504
ENSG00000006116	CACNG3	3088.00	2807.82	0	0	0	0
ENSG00000006118	TMEM132A	2408.68	2128.52	9998	3864	6732	11727
ENSG00000006125	AP2B1	5467.38	5187.19	7223	7408	7641	6642
ENSG00000006128	TAC1	1061.00	780.82	4	1	19	150.999
ENSG00000006194	ZNF263	2399.08	2118.90	1560.36	1478.58	1573.99	1681.99
ENSG00000006210	CX3CL1	3274.72	2994.54	1716	2556	669	975
ENSG00000006282	SPATA20	2383.39	2103.21	2196.05	4090	3366	3440
ENSG00000006283	CACNA1G	2927.51	2647.32	13	11	18	15
ENSG00000006327	TNFRSF12A	1064.06	783.88	1444	1575	2148	1509
ENSG00000006377	DLX6	2300.00	2019.82	2	0	0	0
ENSG00000006432	MAP3K9	10032.62	9752.43	1257	1623	1128	1738
ENSG00000006451	RALA	2767.38	2487.20	2447	2147	2444	2329
ENSG00000006453	BAIAP2L1	3513.71	3233.52	2644.36	4489.6	3346	2681.13
ENSG00000006459	KDM7A	9184.83	8904.64	747	623	655	810
ENSG00000006468	ETV1	4769.31	4489.13	2181	2567	2470	2502
ENSG00000006530	AGK	2802.28	2522.10	1457.17	1439.04	1299.16	1618.65
ENSG00000006534	ALDH3B1	2778.22	2498.04	1687	3922	1487	1081
ENSG00000006555	TTC22	3068.61	2788.43	126.001	203	178.001	94
ENSG00000006576	PHTF2	4561.78	4281.59	971	918	967	1477
ENSG00000006606	CCL26	614.50	334.38	0	0	0	0
ENSG00000006607	FARP2	4104.86	3824.68	1150.54	1147.24	1112.35	1479.56
ENSG00000006611	USH1C	1389.10	1108.92	49.001	0	26	23
ENSG00000006625	GGCT	1110.45	830.27	1556	502	1516	1304.88
ENSG00000006634	DBF4	2559.41	2279.23	626.89	646	508.001	643.001
ENSG00000006638	TBXA2R	1814.00	1533.82	3	2	7	0
ENSG00000006652	IFRD1	2777.70	2497.52	1168	1119	1747	1547
ENSG00000006659	LGALS14	469.00	189.04	2	0	0	0
ENSG00000006695	COX10	2677.72	2397.53	730.205	544.027	725.984	651.626
ENSG00000006704	GTF2IRD1	2349.01	2068.93	1746	1076	1553	1554
