ensemblID	geneSymbol	geneLength	effLength	AT2_15934	AT2_16011	AT2_16392	AT2_16402
ENSG00000000003	TSPAN6	3441.91	3161.72	4604.46	4157.35	3257.76	4078.3
ENSG00000000005	TNMD	873.50	593.36	0	0	0	0
ENSG00000000419	DPM1	1078.38	798.20	2207.55	1651.62	1622.91	1481.45
ENSG00000000457	SCYL3	4558.20	4278.02	868.246	744.023	745.203	827.323
ENSG00000000460	C1orf112	2471.86	2191.68	413.714	355.998	463.323	451.078
ENSG00000000938	FGR	2350.00	2069.82	2	0	0	1
ENSG00000000971	CFH	2534.26	2254.08	929.731	1359.12	2050.08	2824.59
ENSG00000001036	FUCA2	2344.09	2063.91	3484.38	2166.9	2464.92	3082.67
ENSG00000001084	GCLC	3476.54	3196.35	1024.03	1167	1059	982.223
ENSG00000001167	NFYA	3244.81	2964.63	2107.63	1755.25	1948.11	2265.75
ENSG00000001460	STPG1	2298.66	2018.51	390.071	1006	340.072	278.999
ENSG00000001461	NIPAL3	4553.74	4273.56	1418.84	1569.22	1026.11	1461
ENSG00000001497	LAS1L	2313.91	2033.77	1477.79	1359.39	1557.88	1506.75
ENSG00000001561	ENPP4	4644.00	4363.82	1565.11	1140	1239.25	1854.89
ENSG00000001617	SEMA3F	2946.60	2666.42	2247.1	1562.04	2668.2	3629.99
ENSG00000001626	CFTR	4419.40	4139.22	907.328	483	520	642.408
ENSG00000001629	ANKIB1	5938.67	5658.49	2536.62	2340.4	2077.09	2798.01
ENSG00000001630	CYP51A1	3068.90	2788.72	11534.1	7861.1	14529.5	11717.9
ENSG00000001631	KRIT1	2252.41	1972.24	1480	1801.29	1367.63	1545.89
ENSG00000002016	RAD52	1342.93	1062.99	589.588	726.158	472.716	688.357
ENSG00000002079	MYH16	1984.60	1704.58	1	0	0	0
ENSG00000002330	BAD	922.47	642.30	2269.69	1998.96	2243.92	1561.95
ENSG00000002549	LAP3	1901.64	1621.46	1825.33	1431.86	2000.1	2100.63
ENSG00000002586	CD99	1127.89	847.71	2268.28	4281.29	6276.11	3129.38
ENSG00000002586.20_PAR_Y	CD99	814.53	534.39	0	0	0	0
ENSG00000002587	HS3ST1	7160.00	6879.82	346.2	34	411.039	657.109
ENSG00000002726	AOC1	2649.00	2368.82	19	0	20	171.951
ENSG00000002745	WNT16	3150.00	2869.82	5	28	13	21
ENSG00000002746	HECW1	2134.91	1854.87	0	1	0	0
ENSG00000002822	MAD1L1	1460.77	1180.65	907.289	723.062	1094.2	764.99
ENSG00000002834	LASP1	3894.92	3614.74	10328.9	9209.23	11666.7	9072.65
ENSG00000002919	SNX11	2261.25	1981.07	749.096	637.999	773.999	766.366
ENSG00000002933	TMEM176A	1044.79	764.61	158	1	145.02	379.006
ENSG00000003056	M6PR	2280.28	2000.11	6069.76	4669.95	6117.77	6471.44
ENSG00000003096	KLHL13	3319.56	3039.38	144.999	413	93	138.048
ENSG00000003137	CYP26B1	2803.71	2523.56	25	3	5	26
ENSG00000003147	ICA1	1940.61	1660.45	2434.64	1677	2255	2254.51
ENSG00000003249	DBNDD1	2100.53	1820.35	1904.8	1762.58	1822.07	2166.68
ENSG00000003393	ALS2	5551.02	5270.84	1382.98	1400	1390.18	1702.34
ENSG00000003400	CASP10	2425.16	2145.14	109.001	97	200	103
ENSG00000003402	CFLAR	4441.59	4161.42	4268.18	8505.28	5024.88	4384.2
ENSG00000003436	TFPI	1994.43	1714.25	2207.16	3864.3	2389.06	1408.22
ENSG00000003509	NDUFAF7	2069.75	1789.56	510.568	570.841	546.041	653.276
ENSG00000003756	RBM5	2319.94	2039.77	7303.41	8925.52	6576.34	9462.9
ENSG00000003987	MTMR7	4755.99	4475.81	1039.28	125.546	1095.77	1001.49
ENSG00000003989	SLC7A2	7537.72	7257.54	1573.7	239	2123.83	1796.68
ENSG00000004059	ARF5	1052.61	772.43	6608.59	5585.29	6368.29	5733.75
ENSG00000004139	SARM1	4342.96	4062.79	1246.88	674.845	898.226	998.015
ENSG00000004142	POLDIP2	2670.00	2389.82	3877.34	3379.95	3971.45	3985.89
ENSG00000004399	PLXND1	2408.16	2127.99	8535.32	4413.81	10065.7	8407.32
ENSG00000004455	AK2	2077.13	1796.95	4595.99	4577.06	5527.99	5259.79
ENSG00000004468	CD38	2424.33	2144.17	36	704	242.311	242
ENSG00000004478	FKBP4	3517.85	3237.66	2673.99	1407.04	3149.05	2525.3
ENSG00000004487	KDM1A	2715.32	2435.13	5065.49	3973.25	4500.82	4877.8
ENSG00000004534	RBM6	2688.94	2408.76	7673.56	8522.58	6851.46	12988.6
ENSG00000004660	CAMKK1	3457.19	3177.01	384.008	147	341.001	389.547
ENSG00000004700	RECQL	2693.45	2413.27	910.432	824.527	886.655	1225.5
ENSG00000004766	VPS50	4282.05	4001.87	999.777	755.009	797.118	930.587
ENSG00000004776	HSPB6	1460.00	1179.82	10	1	5	1
ENSG00000004777	ARHGAP33	2325.04	2044.93	1478.52	1139.77	1716.03	1765.75
ENSG00000004779	NDUFAB1	664.92	384.77	2121.16	1971.42	2179.08	1969.05
ENSG00000004799	PDK4	3601.00	3320.82	216	644.022	656.179	215
ENSG00000004809	SLC22A16	1388.25	1108.10	0	0	0	0
ENSG00000004838	ZMYND10	1382.13	1101.96	268.001	8562.7	148	237.064
ENSG00000004846	ABCB5	2554.00	2273.82	0	1	0	0
ENSG00000004848	ARX	664.80	522.56	0	28	8	5
ENSG00000004864	SLC25A13	2931.59	2651.41	1327.57	713.15	1345.18	1639.32
ENSG00000004866	ST7	2186.11	1905.92	1999.59	2918.02	1929.86	1714.27
ENSG00000004897	CDC27	3102.35	2822.19	1867.53	2020.17	1743.36	2274.94
ENSG00000004939	SLC4A1	2224.20	1944.17	0	0	0	0
ENSG00000004948	CALCR	3525.00	3244.82	3	0	21	0
ENSG00000004961	HCCS	2046.76	1766.58	802.204	814.611	696.388	775.999
