ensemblID	geneSymbol	geneLength	effLength	AT2_15934	AT2_16011	AT2_16392	AT2_16402
ENSG00000000003	TSPAN6	3441.91	3161.72	32.02	33.29	21.90	28.62
ENSG00000000005	TNMD	873.50	593.36	0.00	0.00	0.00	0.00
ENSG00000000419	DPM1	1078.38	798.20	62.06	50.17	44.77	41.46
ENSG00000000457	SCYL3	4558.20	4278.02	4.33	4.61	3.45	4.03
ENSG00000000460	C1orf112	2471.86	2191.68	4.45	3.81	5.06	3.65
ENSG00000000938	FGR	2350.00	2069.82	0.02	0.00	0.00	0.01
ENSG00000000971	CFH	2534.26	2254.08	9.51	10.75	15.81	24.74
ENSG00000001036	FUCA2	2344.09	2063.91	38.74	25.97	28.70	35.55
ENSG00000001084	GCLC	3476.54	3196.35	6.82	8.24	7.13	6.09
ENSG00000001167	NFYA	3244.81	2964.63	16.02	14.16	14.78	18.05
ENSG00000001460	STPG1	2298.66	2018.51	4.36	11.39	3.78	3.57
ENSG00000001461	NIPAL3	4553.74	4273.56	6.88	7.98	5.14	7.62
ENSG00000001497	LAS1L	2313.91	2033.77	16.46	15.35	16.52	15.77
ENSG00000001561	ENPP4	4644.00	4363.82	8.19	6.32	6.06	9.66
ENSG00000001617	SEMA3F	2946.60	2666.42	18.56	14.06	22.27	30.07
ENSG00000001626	CFTR	4419.40	4139.22	4.93	2.56	4.08	3.87
ENSG00000001629	ANKIB1	5938.67	5658.49	9.42	9.74	7.76	11.25
ENSG00000001630	CYP51A1	3068.90	2788.72	88.57	65.74	110.93	91.68
ENSG00000001631	KRIT1	2252.41	1972.24	15.67	19.78	12.53	16.74
ENSG00000002016	RAD52	1342.93	1062.99	7.83	12.45	6.36	8.56
ENSG00000002079	MYH16	1984.60	1704.58	0.00	0.00	0.00	0.00
ENSG00000002330	BAD	922.47	642.30	81.63	76.08	79.63	56.33
ENSG00000002549	LAP3	1901.64	1621.46	25.50	21.12	27.83	29.41
ENSG00000002586	CD99	1127.89	847.71	58.95	124.98	165.28	82.36
ENSG00000002586.20_PAR_Y	CD99	814.53	534.39	0.00	0.00	0.00	0.00
